date,open_proxy,observed_close,anchor_available_at,scheduled_close,close,previous_close,spy_return,spy_vol_prior14,prior_sessions,eligible
2025-10-07,672.095,669.12,2025-10-07 10:00:00,2025-10-07 16:00:00,669.12,671.61,-0.00370750882208426,0.0037474888685802357,143,True
2025-10-08,670.385,673.11,2025-10-08 10:00:00,2025-10-08 16:00:00,673.11,669.12,0.005963055954088858,0.0039368981622520125,144,True
2025-10-09,671.73,671.16,2025-10-09 10:00:00,2025-10-09 16:00:00,671.16,673.11,-0.0028970004902616475,0.004036435472895377,145,True
2025-10-10,673.17,653.02,2025-10-10 10:00:00,2025-10-10 16:00:00,653.02,671.16,-0.027027832409559527,0.004045190395101462,146,True
2025-10-13,662.88,663.04,2025-10-13 10:00:00,2025-10-13 16:00:00,663.04,653.02,0.01534409359590816,0.008320579272984269,147,True
2025-10-14,656.8,662.23,2025-10-14 10:00:00,2025-10-14 16:00:00,662.23,663.04,-0.0012216457528956282,0.009346946014603792,148,True
2025-10-15,668.4105,665.17,2025-10-15 10:00:00,2025-10-15 16:00:00,665.17,662.23,0.0044395451731271685,0.00930986907312554,149,True
2025-10-16,666.665,660.64,2025-10-16 10:00:00,2025-10-16 16:00:00,660.64,665.17,-0.006810289099027256,0.009266913376127929,150,True
2025-10-17,660.65,664.39,2025-10-17 10:00:00,2025-10-17 16:00:00,664.39,660.64,0.005676313877452266,0.009360335287296571,151,True
2025-10-20,668.76,671.3,2025-10-20 10:00:00,2025-10-20 16:00:00,671.3,664.39,0.010400517768178297,0.009459374376814352,152,True
2025-10-21,670.58,671.29,2025-10-21 10:00:00,2025-10-21 16:00:00,671.29,671.3,-1.4896469536673784e-05,0.009815628890476597,153,True
2025-10-22,671.215,667.8,2025-10-22 10:00:00,2025-10-22 16:00:00,667.8,671.29,-0.005198945314245695,0.00978268148395487,154,True
2025-10-23,670.1184,671.76,2025-10-23 10:00:00,2025-10-23 16:00:00,671.76,667.8,0.005929919137466433,0.009889188140673012,155,True
2025-10-24,677.47,677.25,2025-10-24 10:00:00,2025-10-24 16:00:00,677.25,671.76,0.008172561629153252,0.010020162464605908,156,True
2025-10-27,683.145,685.24,2025-10-27 10:00:00,2025-10-27 16:00:00,685.24,677.25,0.011797711332595107,0.010208409198394993,157,True
2025-10-28,685.73,687.06,2025-10-28 10:00:00,2025-10-28 16:00:00,687.06,685.24,0.002656003735917345,0.01053557262280369,158,True
2025-10-29,689.64,687.39,2025-10-29 10:00:00,2025-10-29 16:00:00,687.39,687.06,0.0004803073967338811,0.010470811752871317,159,True
