model,date,timestamp,direction,held_shares,equity_marked,marked_leverage
B,2025-07-11,2025-07-11 15:30:00,0,0,102562.01719999994,0.0
B,2025-07-11,2025-07-11 16:00:00,0,0,102562.01719999994,0.0
B,2025-07-14,2025-07-14 10:00:00,0,0,102562.01719999994,0.0
B,2025-07-14,2025-07-14 10:30:00,0,0,102562.01719999994,0.0
B,2025-07-14,2025-07-14 11:00:00,0,0,102562.01719999994,0.0
B,2025-07-14,2025-07-14 11:30:00,0,0,102562.01719999994,0.0
B,2025-07-14,2025-07-14 12:00:00,0,0,102562.01719999994,0.0
B,2025-07-14,2025-07-14 12:30:00,0,0,102562.01719999994,0.0
B,2025-07-14,2025-07-14 13:00:00,0,0,102562.01719999994,0.0
B,2025-07-14,2025-07-14 13:30:00,0,0,102562.01719999994,0.0
B,2025-07-14,2025-07-14 14:00:00,0,0,102562.01719999994,0.0
B,2025-07-14,2025-07-14 14:30:00,0,0,102562.01719999994,0.0
B,2025-07-14,2025-07-14 15:00:00,0,0,102562.01719999994,0.0
B,2025-07-14,2025-07-14 15:30:00,0,0,102562.01719999994,0.0
B,2025-07-14,2025-07-14 16:00:00,0,0,102562.01719999994,0.0
B,2025-07-15,2025-07-15 10:00:00,0,0,102562.01719999994,0.0
B,2025-07-15,2025-07-15 10:30:00,0,0,102562.01719999994,0.0
B,2025-07-15,2025-07-15 11:00:00,0,0,102562.01719999994,0.0
B,2025-07-15,2025-07-15 11:30:00,0,0,102562.01719999994,0.0
B,2025-07-15,2025-07-15 12:00:00,0,0,102562.01719999994,0.0
B,2025-07-15,2025-07-15 12:30:00,0,0,102562.01719999994,0.0
B,2025-07-15,2025-07-15 13:00:00,-1,-164,102561.27919999995,0.9937211079559162
B,2025-07-15,2025-07-15 13:30:00,0,0,102449.33279999995,0.0
B,2025-07-15,2025-07-15 14:00:00,0,0,102449.33279999995,0.0
B,2025-07-15,2025-07-15 14:30:00,0,0,102449.33279999995,0.0
B,2025-07-15,2025-07-15 15:00:00,0,0,102449.33279999995,0.0
B,2025-07-15,2025-07-15 15:30:00,0,0,102449.33279999995,0.0
B,2025-07-15,2025-07-15 16:00:00,0,0,102449.33279999995,0.0
B,2025-07-16,2025-07-16 10:00:00,0,0,102449.33279999995,0.0
B,2025-07-16,2025-07-16 10:30:00,0,0,102449.33279999995,0.0
B,2025-07-16,2025-07-16 11:00:00,0,0,102449.33279999995,0.0
B,2025-07-16,2025-07-16 11:30:00,0,0,102449.33279999995,0.0
B,2025-07-16,2025-07-16 12:00:00,0,0,102449.33279999995,0.0
B,2025-07-16,2025-07-16 12:30:00,0,0,102449.33279999995,0.0
B,2025-07-16,2025-07-16 13:00:00,0,0,102449.33279999995,0.0
B,2025-07-16,2025-07-16 13:30:00,0,0,102449.33279999995,0.0
B,2025-07-16,2025-07-16 14:00:00,0,0,102449.33279999995,0.0
B,2025-07-16,2025-07-16 14:30:00,0,0,102449.33279999995,0.0
B,2025-07-16,2025-07-16 15:00:00,1,165,102448.59029999995,1.0027431973361183
B,2025-07-16,2025-07-16 15:30:00,1,165,102415.68929999995,1.0027440785871862
B,2025-07-16,2025-07-16 16:00:00,0,0,102429.74729999996,0.0
B,2025-07-17,2025-07-17 10:00:00,0,0,102429.74729999996,0.0
B,2025-07-17,2025-07-17 10:30:00,0,0,102429.74729999996,0.0
B,2025-07-17,2025-07-17 11:00:00,0,0,102429.74729999996,0.0
B,2025-07-17,2025-07-17 11:30:00,0,0,102429.74729999996,0.0
B,2025-07-17,2025-07-17 12:00:00,1,164,102429.00929999996,1.0014628853781176
B,2025-07-17,2025-07-17 12:30:00,0,0,102366.95169999995,0.0
B,2025-07-17,2025-07-17 13:00:00,0,0,102366.95169999995,0.0
B,2025-07-17,2025-07-17 13:30:00,0,0,102366.95169999995,0.0
B,2025-07-17,2025-07-17 14:00:00,0,0,102366.95169999995,0.0
B,2025-07-17,2025-07-17 14:30:00,1,164,102366.21369999995,1.0030758068372325
B,2025-07-17,2025-07-17 15:00:00,1,164,102389.10809999994,1.0030751190809528
B,2025-07-17,2025-07-17 15:30:00,1,164,102387.46809999994,1.003075168336935
B,2025-07-17,2025-07-17 16:00:00,0,0,102398.17729999994,0.0
B,2025-07-18,2025-07-18 10:00:00,0,0,102398.17729999994,0.0
B,2025-07-18,2025-07-18 10:30:00,-1,-163,102397.44379999994,0.9959250945676446
B,2025-07-18,2025-07-18 11:00:00,0,0,102430.84249999994,0.0
B,2025-07-18,2025-07-18 11:30:00,0,0,102430.84249999994,0.0
B,2025-07-18,2025-07-18 12:00:00,0,0,102430.84249999994,0.0
B,2025-07-18,2025-07-18 12:30:00,0,0,102430.84249999994,0.0
B,2025-07-18,2025-07-18 13:00:00,0,0,102430.84249999994,0.0
B,2025-07-18,2025-07-18 13:30:00,0,0,102430.84249999994,0.0
B,2025-07-18,2025-07-18 14:00:00,0,0,102430.84249999994,0.0
B,2025-07-18,2025-07-18 14:30:00,0,0,102430.84249999994,0.0
B,2025-07-18,2025-07-18 15:00:00,0,0,102430.84249999994,0.0
B,2025-07-18,2025-07-18 15:30:00,0,0,102430.84249999994,0.0
B,2025-07-18,2025-07-18 16:00:00,0,0,102430.84249999994,0.0
B,2025-07-21,2025-07-21 10:00:00,0,0,102430.84249999994,0.0
B,2025-07-21,2025-07-21 10:30:00,0,0,102430.84249999994,0.0
B,2025-07-21,2025-07-21 11:00:00,0,0,102430.84249999994,0.0
B,2025-07-21,2025-07-21 11:30:00,0,0,102430.84249999994,0.0
B,2025-07-21,2025-07-21 12:00:00,0,0,102430.84249999994,0.0
B,2025-07-21,2025-07-21 12:30:00,0,0,102430.84249999994,0.0
B,2025-07-21,2025-07-21 13:00:00,0,0,102430.84249999994,0.0
B,2025-07-21,2025-07-21 13:30:00,0,0,102430.84249999994,0.0
B,2025-07-21,2025-07-21 14:00:00,0,0,102430.84249999994,0.0
B,2025-07-21,2025-07-21 14:30:00,0,0,102430.84249999994,0.0
B,2025-07-21,2025-07-21 15:00:00,0,0,102430.84249999994,0.0
B,2025-07-21,2025-07-21 15:30:00,0,0,102430.84249999994,0.0
B,2025-07-21,2025-07-21 16:00:00,0,0,102430.84249999994,0.0
B,2025-07-22,2025-07-22 10:00:00,0,0,102430.84249999994,0.0
B,2025-07-22,2025-07-22 10:30:00,0,0,102430.84249999994,0.0
B,2025-07-22,2025-07-22 11:00:00,0,0,102430.84249999994,0.0
